date,open,high,low,close,volume
2020-01-01,1.1234,1.1250,1.1200,1.1240,1000
2020-01-02,1.1240,1.1280,1.1220,1.1270,1200
2020-01-03,1.1270,1.1290,1.1250,1.1260,1100
2020-01-06,1.1260,1.1300,1.1240,1.1290,1300
2020-01-07,1.1290,1.1320,1.1270,1.1310,1400
2020-01-08,1.1310,1.1330,1.1280,1.1285,1250
2020-01-09,1.1285,1.1310,1.1260,1.1300,1150
2020-01-10,1.1300,1.1340,1.1290,1.1330,1350
2020-01-13,1.1330,1.1350,1.1310,1.1320,1200
2020-01-14,1.1320,1.1340,1.1300,1.1310,1100
2020-01-15,1.1310,1.1330,1.1280,1.1290,1050
2020-01-16,1.1290,1.1320,1.1270,1.1310,1150
2020-01-17,1.1310,1.1350,1.1300,1.1340,1300
2020-01-20,1.1340,1.1360,1.1320,1.1350,1250
2020-01-21,1.1350,1.1370,1.1330,1.1360,1300
2020-01-22,1.1360,1.1380,1.1340,1.1355,1200
2020-01-23,1.1355,1.1370,1.1330,1.1340,1150
2020-01-24,1.1340,1.1360,1.1320,1.1350,1200
2020-01-27,1.1350,1.1370,1.1330,1.1365,1250
2020-01-28,1.1365,1.1385,1.1345,1.1375,1300
2020-01-29,1.1375,1.1390,1.1355,1.1370,1200
2020-01-30,1.1370,1.1385,1.1350,1.1360,1150
2020-01-31,1.1360,1.1380,1.1340,1.1370,1200
2020-02-03,1.1370,1.1390,1.1350,1.1380,1250
2020-02-04,1.1380,1.1400,1.1360,1.1390,1300
2020-02-05,1.1390,1.1410,1.1370,1.1385,1200
2020-02-06,1.1385,1.1400,1.1365,1.1375,1150
2020-02-07,1.1375,1.1390,1.1355,1.1380,1200
2020-02-10,1.1380,1.1400,1.1360,1.1390,1250
2020-02-11,1.1390,1.1410,1.1370,1.1400,1300
2020-02-12,1.1400,1.1420,1.1380,1.1395,1200
2020-02-13,1.1395,1.1410,1.1375,1.1385,1150
2020-02-14,1.1385,1.1400,1.1365,1.1390,1200
2020-02-17,1.1390,1.1410,1.1370,1.1400,1250
2020-02-18,1.1400,1.1420,1.1380,1.1410,1300
2020-02-19,1.1410,1.1430,1.1390,1.1405,1200
2020-02-20,1.1405,1.1420,1.1385,1.1395,1150
2020-02-21,1.1395,1.1410,1.1375,1.1400,1200
2020-02-24,1.1400,1.1420,1.1380,1.1410,1250
2020-02-25,1.1410,1.1430,1.1390,1.1420,1300
2020-02-26,1.1420,1.1440,1.1400,1.1415,1200
2020-02-27,1.1415,1.1430,1.1395,1.1405,1150
2020-02-28,1.1405,1.1420,1.1385,1.1410,1200
